year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,OH,US House,16,general,0.43,0.37,0.06
2020,CO,State House,39,general,0.33,0.34,0.02
2020,AR,State House,80,general,0.31,0.28,0.04
2020,MI,State House,68,general,0.83,0.76,0.07
2020,SC,US House,7,general,0.42,0.38,0.03
2020,CA,US House,10,general,0.58,0.59,0.01
2020,MN,State House,55B,general,0.39,0.38,0.01
2020,MI,State House,36,general,0.32,0.31,0.01
2020,SD,State House,11,general,0.16,0.18,0.02
2020,GA,State House,148,general,0.32,0.28,0.05
2020,NM,State House,30,general,0.52,0.57,0.04
2020,TX,State House,115,general,0.57,0.57,0
2020,CO,State House,6,general,0.72,0.75,0.02
2020,KS,State House,96,general,0.53,0.46,0.07
2020,CA,State House,77,general,0.55,0.58,0.02
2020,WV,State House,13,general,0.17,0.25,0.08
2020,MN,State House,32B,general,0.41,0.38,0.03
2020,OR,State House,21,general,0.63,0.61,0.02
2020,NC,State House,99,general,0.69,0.65,0.04
2020,KS,State House,21,general,0.58,0.62,0.04
2020,IL,US House,9,general,0.75,0.68,0.08
2020,KY,State House,64,general,0.34,0.27,0.07
2020,CT,State House,31,general,0.54,0.53,0.01
2020,MI,State House,106,general,0.38,0.31,0.08
2020,OR,State House,56,general,0.28,0.27,0.01
2020,MI,State House,32,general,0.39,0.34,0.05
2020,MN,State House,62A,general,0.86,0.9,0.04
2020,MA,US House,2,general,0.64,0.68,0.04
2020,MI,State House,65,general,0.4,0.35,0.04
2020,MI,State House,54,general,0.81,0.78,0.04
2020,ME,State House,96,general,0.57,0.5,0.07
2020,NY,State House,78,general,0.81,0.87,0.06
2020,RI,State House,39,general,0.47,0.48,0
2020,AZ,State House,2,general,0.41,0.37,0.04
2020,PA,State House,81,general,0.37,0.31,0.06
2020,CT,State House,109,general,0.63,0.61,0.02
2020,AZ,State House,27,general,0.4,0.43,0.03
2020,TN,State House,56,general,0.55,0.54,0.01
2020,PA,State House,156,general,0.57,0.55,0.02
2020,ME,State House,72,general,0.32,0.36,0.04
2020,OR,State House,25,general,0.41,0.43,0.02
2020,GA,US House,11,general,0.38,0.38,0.01
2020,OH,US House,2,general,0.41,0.39,0.02
2020,CT,State House,30,general,0.51,0.44,0.06
2020,MN,State House,38A,general,0.44,0.46,0.03
2020,GA,State Senate,32,general,0.39,0.44,0.04
2020,IA,US House,2,general,0.51,0.5,0.01
2020,NY,State Senate,29,general,0.82,0.87,0.05
2020,FL,US House,22,general,0.59,0.59,0
2020,MO,State House,105,general,0.44,0.42,0.02
2020,PA,State House,142,general,0.43,0.39,0.05
2020,PA,US House,13,general,0.29,0.21,0.08
2020,TX,State House,85,general,0.43,0.41,0.02
2020,PA,State House,44,general,0.48,0.43,0.05
2020,IA,State House,44,general,0.51,0.53,0.02
2020,CT,State House,86,general,0.38,0.34,0.04
2020,WI,State House,46,general,0.69,0.68,0.01
2020,MI,State House,57,general,0.37,0.34,0.03
2020,NY,US House,18,general,0.57,0.51,0.06
2020,NY,US House,16,general,0.91,0.83,0.08
2020,GA,State House,117,general,0.48,0.43,0.05
2020,MT,State House,68,general,0.4,0.33,0.07
2020,KS,State House,92,general,0.55,0.57,0.01
2020,CT,State House,148,general,0.74,0.75,0.01
2020,NC,State Senate,6,general,0.41,0.34,0.07
2020,RI,State Senate,36,general,0.59,0.49,0.09
2020,AK,State House,35,general,0.59,0.6,0
2020,MN,State House,8A,general,0.4,0.34,0.06
2020,KS,State House,43,general,0.37,0.35,0.02
2020,SC,State House,43,general,0.35,0.32,0.04
2020,GA,US House,1,general,0.42,0.39,0.02
2020,MN,State House,11B,general,0.41,0.35,0.07
2020,NC,State House,60,general,0.66,0.64,0.02
2020,OK,State House,81,general,0.39,0.38,0.02
2020,PA,State House,72,general,0.48,0.53,0.04
2020,WI,State House,48,general,0.74,0.8,0.06
2020,CA,US House,51,general,0.75,0.72,0.03
